epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.722,1.49597,2.38541,1.43982,0.64557,0.45981,0.63278,0.38812,1.65869,2.31767,1.52422,0.000412736,0.000412736,0.000412736
2,283.713,1.14374,1.1344,1.14311,0.80958,0.77098,0.8233,0.47877,1.64084,1.49029,1.55021,0.00081298,0.00081298,0.00081298
3,416.151,1.08065,0.95949,1.12039,0.89253,0.78028,0.87719,0.4789,1.60103,1.30567,1.48564,0.00119672,0.00119672,0.00119672
4,582.503,1.03982,0.87163,1.09839,0.87064,0.68234,0.69555,0.39698,1.4815,1.07887,1.42293,0.00117575,0.00117575,0.00117575
5,772.898,0.9929,0.77774,1.07327,0.88488,0.47831,0.50623,0.28252,1.47879,0.9491,1.40654,0.001151,0.001151,0.001151
6,1007.6,0.97383,0.70782,1.05887,0.88291,0.55037,0.58847,0.33464,1.42495,0.96051,1.36308,0.00112625,0.00112625,0.00112625
7,1207.65,0.93939,0.64293,1.04317,0.88899,0.67326,0.69904,0.40176,1.46348,0.8815,1.38327,0.0011015,0.0011015,0.0011015
8,1365,0.94115,0.61262,1.03576,0.91227,0.91704,0.93356,0.56605,1.39107,0.77007,1.34977,0.00107675,0.00107675,0.00107675
9,1512.49,0.90408,0.59911,1.02279,0.92023,0.89126,0.91662,0.59506,1.3029,0.74264,1.34061,0.001052,0.001052,0.001052
10,1627.9,0.90404,0.5796,1.02764,0.93257,0.89759,0.93233,0.5751,1.38984,0.76684,1.35947,0.00102725,0.00102725,0.00102725
11,1774.98,0.86986,0.55055,1.01159,0.88855,0.91271,0.91968,0.59801,1.36757,0.7227,1.35279,0.0010025,0.0010025,0.0010025
12,1890.16,0.84967,0.5386,1.0126,0.89217,0.89289,0.90849,0.59873,1.37478,0.76699,1.35996,0.00097775,0.00097775,0.00097775
13,2019.78,0.8475,0.52358,1.00481,0.90525,0.89094,0.92311,0.61097,1.35583,0.70174,1.37768,0.000953,0.000953,0.000953
14,2140.89,0.85221,0.50832,1.00683,0.91262,0.92081,0.93961,0.59822,1.36008,0.68349,1.35472,0.00092825,0.00092825,0.00092825
15,2268.23,0.81202,0.4792,0.98423,0.91649,0.91167,0.92636,0.60767,1.36863,0.67121,1.3551,0.0009035,0.0009035,0.0009035
16,2384.57,0.83466,0.48198,0.99948,0.90714,0.90502,0.91857,0.58534,1.41683,0.69974,1.40965,0.00087875,0.00087875,0.00087875
17,2502.25,0.81542,0.47033,0.9901,0.92665,0.91751,0.93616,0.60811,1.33039,0.61511,1.36985,0.000854,0.000854,0.000854
18,2624.56,0.81116,0.46343,0.9875,0.89351,0.94134,0.9355,0.61744,1.33759,0.64525,1.37257,0.00082925,0.00082925,0.00082925
19,2734.14,0.79865,0.45703,0.98555,0.90206,0.91298,0.92798,0.61195,1.33692,0.62611,1.37119,0.0008045,0.0008045,0.0008045
20,2845.65,0.80628,0.44281,0.98369,0.92398,0.93419,0.93934,0.59778,1.34983,0.6178,1.36454,0.00077975,0.00077975,0.00077975
21,2957.51,0.78901,0.43912,0.97897,0.91403,0.94208,0.94202,0.60349,1.30927,0.6062,1.33681,0.000755,0.000755,0.000755
22,3067.39,0.77049,0.43037,0.96518,0.92989,0.93469,0.94256,0.62099,1.33121,0.58599,1.36071,0.00073025,0.00073025,0.00073025
23,3180.42,0.75498,0.42868,0.96965,0.90612,0.93334,0.94306,0.62307,1.30847,0.5695,1.37887,0.0007055,0.0007055,0.0007055
24,3290.61,0.73763,0.41503,0.96447,0.93189,0.91024,0.93223,0.61846,1.29872,0.57186,1.37051,0.00068075,0.00068075,0.00068075
25,3394.78,0.7604,0.42069,0.96679,0.92054,0.93385,0.93567,0.62879,1.3002,0.5665,1.35882,0.000656,0.000656,0.000656
26,3499.64,0.73929,0.40331,0.96287,0.9055,0.91595,0.9229,0.61678,1.33951,0.59263,1.39561,0.00063125,0.00063125,0.00063125
27,3616.95,0.73834,0.39951,0.95892,0.91416,0.89182,0.92028,0.60965,1.36219,0.60193,1.40411,0.0006065,0.0006065,0.0006065
28,3727.65,0.70921,0.39482,0.95299,0.89684,0.93516,0.91477,0.62129,1.2877,0.56483,1.38531,0.00058175,0.00058175,0.00058175
29,3834.33,0.71929,0.39879,0.95288,0.91675,0.94114,0.9381,0.62373,1.29224,0.55037,1.35374,0.000557,0.000557,0.000557
30,3942.17,0.71139,0.39227,0.94879,0.90512,0.92597,0.9178,0.61373,1.30928,0.55958,1.38467,0.00053225,0.00053225,0.00053225
31,4054.98,0.71137,0.38616,0.94591,0.90727,0.92211,0.9207,0.62705,1.30768,0.55687,1.36929,0.0005075,0.0005075,0.0005075
32,4162.98,0.69662,0.37455,0.9427,0.91718,0.90182,0.91308,0.63129,1.30678,0.55237,1.39844,0.00048275,0.00048275,0.00048275
33,4267.06,0.68278,0.36264,0.93566,0.91463,0.94523,0.93836,0.64177,1.28235,0.5489,1.37103,0.000458,0.000458,0.000458
34,4371.34,0.67958,0.36583,0.93409,0.90795,0.92863,0.92844,0.63728,1.27791,0.54351,1.34892,0.00043325,0.00043325,0.00043325
35,4474.46,0.67226,0.3632,0.93329,0.90952,0.93114,0.92308,0.64097,1.28602,0.53892,1.37393,0.0004085,0.0004085,0.0004085
36,4588.14,0.65338,0.35247,0.92621,0.91171,0.93286,0.92707,0.63307,1.27954,0.54539,1.3722,0.00038375,0.00038375,0.00038375
37,4685.95,0.66381,0.35868,0.93133,0.91032,0.93688,0.91939,0.62665,1.28975,0.55056,1.37444,0.000359,0.000359,0.000359
38,4791.93,0.64591,0.3483,0.92736,0.92168,0.91615,0.92784,0.63949,1.29038,0.54171,1.37973,0.00033425,0.00033425,0.00033425
39,4890.82,0.63183,0.33829,0.91916,0.91995,0.92091,0.92619,0.64252,1.26628,0.53027,1.3662,0.0003095,0.0003095,0.0003095
40,4988.28,0.64774,0.34775,0.92423,0.91927,0.91478,0.92571,0.64049,1.26102,0.52908,1.36995,0.00028475,0.00028475,0.00028475
41,5098.39,0.59018,0.30534,0.90302,0.92737,0.92299,0.92344,0.62366,1.27032,0.53292,1.38032,0.00026,0.00026,0.00026
42,5209.31,0.57439,0.29725,0.89917,0.91372,0.92034,0.92122,0.63336,1.27019,0.54274,1.38795,0.00023525,0.00023525,0.00023525
43,5314.86,0.5649,0.29007,0.89113,0.91027,0.92819,0.92426,0.6402,1.26205,0.52722,1.38697,0.0002105,0.0002105,0.0002105
44,5426.07,0.55648,0.28561,0.88523,0.90267,0.93078,0.92217,0.6468,1.24402,0.52673,1.39048,0.00018575,0.00018575,0.00018575
45,5528.48,0.54775,0.28322,0.88237,0.91776,0.92521,0.93063,0.64629,1.23902,0.51598,1.38643,0.000161,0.000161,0.000161
46,5641.67,0.5429,0.27776,0.88296,0.91455,0.91768,0.91748,0.6461,1.24594,0.52048,1.40016,0.00013625,0.00013625,0.00013625
47,5753.02,0.52671,0.27333,0.88356,0.9174,0.93241,0.92637,0.64624,1.24074,0.51068,1.39781,0.0001115,0.0001115,0.0001115
48,5868.58,0.51864,0.26929,0.87437,0.91932,0.93004,0.92702,0.6487,1.23266,0.5129,1.38407,8.675e-05,8.675e-05,8.675e-05
49,5984.86,0.51018,0.26989,0.86927,0.91569,0.92605,0.92539,0.64682,1.23571,0.51199,1.39027,6.2e-05,6.2e-05,6.2e-05
50,6093.2,0.50907,0.2648,0.87221,0.91165,0.92839,0.9223,0.64473,1.24137,0.51032,1.39847,3.725e-05,3.725e-05,3.725e-05
